final_prism_id,event_id,state,latitude,longitude,elevation_m,slope_deg,aspect_deg,curvature,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,land_cover,ndvi,soil_type,distance_to_river_m,distance_to_road_m,landslide,monsoon_phase,severity_class,is_fatal,reliability_score,source,prism_record_id,record_type,landslide_id,location_id,district,source_state_code,source_district_code,location,locality_nh_sh,toposheet_no,coordinate_quality_flag,history,material_type,type_of_movement,rate_of_movement,activity,distribution,style,failure_mechanism,scar_length_m,scar_length_m_raw,length_m,length_m_raw,width_m,width_m_raw,height_m,height_m_raw,runout_distance_m,runout_distance_m_raw,depth_m,depth_m_raw,volume_m3,volume_m3_raw,landslide_area_m2,landslide_area_m2_raw,geomorphology,geology,structure_data,land_use_land_cover,hydrological_condition,rainfall_mm,triggering_factor,geo_scientific_causes,remedial_measures,fatalities,fatalities_raw,people_affected,people_affected_raw,livestock_loss,livestock_loss_raw,damage_communication,damage_infrastructure,agriculture_forest_barren,geomorphological_process,geomorphological_form,weathering,rock_characteristic,overburden_type,overburden_thickness_m,land_use_type,erosion,slope_susceptibility_assessment,qualitative_risk_assessment,landslide_label,spatial_scale,source_page,northeast_region,dataset_origin,record_provenance,synthetic_record,data_role,source_dataset,observed_status,label_fill_source,environmental_data_status,external_enrichment_policy
PRISM_FINAL_001539,1048375.0,Assam,26.1295,91.7056,131.0,12.85,35.2,0.618,44.6,94.8,161.3,Open Forest,0.388,Laterite,1388.3,304.0,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001540,938418.0,Sikkim,27.337,88.609,2417.0,28.33,355.4,-0.724,28.5,69.0,134.3,Shrubland,0.02,Silty Clay,1407.0,157.1,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001541,1048551.0,Assam,26.13140438,91.93086808,211.9,16.47,62.9,-0.992,42.6,144.0,309.1,Cropland,0.316,Clay Loam,411.3,838.7,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,9.0,real_event,PRISM_001541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001542,938325.0,Sikkim,27.1675,88.3651,3589.7,40.75,58.6,-0.316,265.9,514.3,1298.4,Cropland,0.512,Rocky/Skeletal,1269.6,232.3,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001543,938237.0,Sikkim,27.2644,88.1365,3359.2,34.35,122.3,-0.386,103.3,263.9,563.8,Shrubland,0.47,Sandy Loam,689.3,65.6,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,9.0,real_event,PRISM_001543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001544,1048382.0,Assam,26.1226,91.7162,246.1,15.43,178.1,-0.42,58.3,172.0,336.2,Barren/Degraded,0.158,Loam,1001.9,362.4,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,9.0,real_event,PRISM_001544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001545,1048555.0,Assam,26.13140438,91.93086808,236.8,12.32,275.3,-0.381,16.9,39.3,79.3,Cropland,0.191,Silty Clay,520.2,390.0,1.0,Post-monsoon (Oct-Nov),Minor (1-2),1.0,9.0,real_event,PRISM_001545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001546,1057337.0,Manipur,24.6596,93.9784,1285.7,33.19,136.2,1.243,107.2,232.2,442.3,Shrubland,0.335,Loam,902.9,233.0,1.0,Monsoon (Jun-Sep),No fatalities,0.0,10.0,real_event,PRISM_001546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001547,1050841.0,Manipur,24.7016,93.5291,1770.8,25.4,293.7,-0.484,81.4,237.4,595.5,Cropland,0.36,Silty Clay,227.4,130.4,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001548,1057907.0,Manipur,25.06466676,94.27420555,1110.6,33.41,67.7,-1.124,84.1,249.5,445.5,Shrubland,0.172,Rocky/Skeletal,784.9,223.4,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
